nodeID;Name;Cat 1 ID;Cat 2 ID;Cat 3 ID;Cat 4 ID;COUNTRY;Country ID
9169;Traunsee (Gmunden) (Austria) ;143;135;161;139;Austria;195
9170;Lake Wolfgangsee (Austria) ;161;139;;;Austria;195
9171;Lake Mondsee (Austria) ;161;139;;;Austria;195
9172;Valle d´Aosta (Italy) ;169;153;130;;Italy;189
9173;Ramzová Jeseníky (Czechia) ;169;153;;;Czechia;181
9174;Rokytnice nad Jizerou, Czech Republic (Czechia) ;169;153;;;Czechia;181
9175;Janske Lazne - Montenegro (Czechia) ;169;153;;;Czechia;181
9104;Aqua Dome Tirol Therme Langenfeld (Austria) ;175;125;;;Austria;195
9105;Holiday Camping Leutasch - year-round campsite (Austria) ;127;;;;Austria;195
9106;Zillertal Wohlfühlcamping - all year round camping (Austria) ;127;;;;Austria;195
9107;Soelden Camping - all year round camping (Austria) ;127;;;;Austria;195
9108;Dreiländereck Camping - all year round camping (Austria) ;127;;;;Austria;195
9109;Camping Seehof - all year round camping (Austria) ;127;;;;Austria;195
9110;Oetztal Arena Camping Krismer - all year round camp (Austria) ;127;;;;Austria;195
9111;TerassenCamping Schlossberg Itter - all year round camping (Austria) ;127;;;;Austria;195
9112;Camping Mayrhofen - all year round camping (Austria) ;127;;;;Austria;195
9113;Eurocamping Holiday Park Fox Farm - all year round camping (Czechia) ;127;;;;Czechia;181
9103;Graz (Austria) ;143;155;;;Austria;195
9102;Camping Oetztal - all year round camping (Austria) ;127;;;;Austria;195
9125;Vatican (Italy) ;130;;143;141;Italy;189
9092;Bayern Park - amusement park (Germany) ;175;177;;;Germany;191
9093;Panorama Camping Westendorf - all year round camping (Austria) ;127;;;;Austria;195
9094;Camping Mauterndorf - all year round camping (Austria) ;127;;;;Austria;195
9095;Grubhof camping - year-round camping (Austria) ;127;;;;Austria;195
9096;Camping Arlberg - all year round camping (Austria) ;127;;;;Austria;195
9097;Vienna (Wien, Vienna) (Austria) ;143;155;130;;Austria;195
9098;Camping Tyrol Prutz - all year round camping (Austria) ;127;;;;Austria;195
9099;Natterer See Camping - year-round camping (Austria) ;127;;;;Austria;195
9100;Schluga Camping World - year-round camping (Austria) ;127;;;;Austria;195
9101;Erlebnis Comfort Camping Aufenfeld - all year round camping (Austria) ;127;;;;Austria;195
9114;Camping Bobrovník - all year round camping (Czechia) ;127;;;;Czechia;181
9115;Camping Klášterský Mlýn - year-round camping (Czechia) ;127;;;;Czechia;181
9116;Autocamp Zákoutí - year-round camping (Czechia) ;127;;;;Czechia;181
9130;Camping Zirngast - all year round camping (Austria) ;127;;;;Austria;195
9131;EisReisenWelt - ice caves (Austria) ;161;137;;;Austria;195
9132;Grossglockner High Alpine Road - high mountain road (Austria) ;161;133;143;;Austria;195
9133;Feldkirch - medieval town (Austria) ;143;155;130;;Austria;195
9134;Melk Monastery (Austria) ;143;141;130;;Austria;195
9135;Salzburg (Austria) ;143;155;130;;Austria;195
9136;Liechtenstein Gorge (Lichtensteinklamm) (Austria) ;161;133;;;Austria;195
9137;Krimmel waterfalls (Austria) ;161;173;;;Austria;195
9138;Hintertux glacier (Austria) ;161;149;169;153;Austria;195
9139;Dachstein caves (Austria) ;161;137;161;133;Austria;195
9129;Camping-Platz Reiteralm - all year round camping (Austria) ;127;;;;Austria;195
9128;Ski Resort Herlíkovice - Bubákov (Czechia) ;127;169;153;;Czechia;181
9117;Camping Levoca Dolina - all year round camping (Slovakia) ;127;;;;Slovakia;197
9118;ATC Bystrina - all year round camping (Slovakia) ;127;;;;Slovakia;197
9119;Autocamping Turiec - all year round camping (Slovakia) ;127;;;;Slovakia;197
9120;Sumava (Czechia) ;161;133;169;;Czechia;181
9121;Castle Cervena Lhota (Czechia) ;130;;143;135;Czechia;181
9122;Demanovska dolina (cave) (Slovakia) ;161;137;;;Slovakia;197
9123;Kost Castle (Czechia) ;130;;143;135;Czechia;181
9124;Camping Harrachov Jiskra - all year round camping (Czechia) ;127;;;;Czechia;181
9126;Legoland Germany (Germany) ;175;177;123;;Germany;191
9127;Plohn Freizeitpark - amusement park (Germany) ;175;177;;;Germany;191
9091;Tropical Islands - Aquapark (Germany) ;175;125;;;Germany;191
